year,node_id,node_type,service_class,pop_bracket,country,assigned_dc_id,route_id,service_mode,route_backed,n_relay_hubs,n_consol_hubs,route_drive_hr,total_hub_dwell_hr,travel_elapsed_hr,last_mile_hr,otd_hours,otd_bucket,purchase_prob,annual_potential_units,annual_realized_units
2030,METRO_FR_paris,metro,METRO_1M+,1M+,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_paris__VIA_RELAY,VIA_RELAY,True,1,1,4.83,3.0,7.83,4.0,11.83,0,1.0,5122.705833513628,5122.705833513628
2030,METRO_FR_lyon,metro,METRO_1M+,1M+,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_lyon__VIA_RELAY,VIA_RELAY,True,1,1,7.165,3.0,10.165,4.0,14.165,0,1.0,809.871694689097,809.871694689097
2030,METRO_FR_marseille,metro,METRO_1M+,1M+,FR,CAND_IT_rome,CAND_IT_rome__METRO_FR_marseille__VIA_RELAY,VIA_RELAY,True,1,1,7.248,3.0,10.248,4.0,14.248,0,1.0,740.8430148296422,740.8430148296422
2030,METRO_FR_lille,metro,METRO_1M+,1M+,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_lille__DIRECT,DIRECT,True,0,1,3.307,2.0,5.307,4.0,9.307,0,1.0,491.95087336456555,491.95087336456555
2030,METRO_FR_toulouse,metro,METRO_1M+,1M+,FR,CAND_ES_madrid,CAND_ES_madrid__METRO_FR_toulouse__VIA_RELAY,VIA_RELAY,True,1,1,6.64,3.0,9.64,4.0,13.64,0,1.0,491.95087336456555,491.95087336456555
2030,METRO_FR_bordeaux,metro,METRO_1M+,1M+,FR,CAND_ES_madrid,CAND_ES_madrid__METRO_FR_bordeaux__VIA_RELAY,VIA_RELAY,True,1,1,6.65,3.0,9.65,4.0,13.65,0,1.0,462.78382553662686,462.78382553662686
2030,METRO_FR_nice,metro,METRO_250K-1M,250K-1M,FR,CAND_IT_rome,CAND_IT_rome__METRO_FR_nice__VIA_RELAY,VIA_RELAY,True,1,1,5.675,3.0,8.675,2.0,10.675,0,1.0,429.72783799829637,429.72783799829637
2030,METRO_FR_nantes,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_nantes__VIA_RELAY,VIA_RELAY,True,1,1,8.967,3.0,11.967,2.0,13.967,0,1.0,323.75423089011923,323.75423089011923
2030,METRO_FR_toulon,metro,METRO_250K-1M,250K-1M,FR,CAND_IT_rome,CAND_IT_rome__METRO_FR_toulon__VIA_RELAY,VIA_RELAY,True,1,1,6.718,3.0,9.718,2.0,11.718,0,1.0,267.3646050894378,267.3646050894378
2030,METRO_FR_grenoble,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_grenoble__VIA_RELAY,VIA_RELAY,True,1,1,7.765,3.0,10.765,2.0,12.765,0,1.0,245.00320175468482,245.00320175468482
2030,METRO_FR_strasbourg,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_strasbourg__DIRECT,DIRECT,True,0,1,3.209,2.0,5.209,2.0,7.209,0,1.0,221.66956349233388,221.66956349233388
2030,METRO_FR_montpellier,metro,METRO_250K-1M,250K-1M,FR,CAND_ES_madrid,CAND_ES_madrid__METRO_FR_montpellier__VIA_RELAY,VIA_RELAY,True,1,1,8.634,3.0,11.634,2.0,13.634,0,1.0,221.66956349233388,221.66956349233388
2030,METRO_FR_avignon,metro,METRO_250K-1M,250K-1M,FR,CAND_IT_rome,CAND_IT_rome__METRO_FR_avignon__VIA_RELAY,VIA_RELAY,True,1,1,8.007,3.0,11.007,2.0,13.007,0,1.0,218.75285870954002,218.75285870954002
2030,METRO_FR_rouen,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_rouen__VIA_RELAY,VIA_RELAY,True,1,1,5.411,3.0,8.411,2.0,10.411,0,1.0,214.86391899914818,214.86391899914818
2030,METRO_FR_saint_etienne,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_saint_etienne__VIA_RELAY,VIA_RELAY,True,1,1,7.704,3.0,10.704,2.0,12.704,0,1.0,171.1133472572402,171.1133472572402
2030,METRO_FR_rennes,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_rennes__VIA_RELAY,VIA_RELAY,True,1,1,9.317,3.0,12.317,2.0,14.317,0,1.0,169.16887740204427,169.16887740204427
2030,METRO_FR_tours,metro,METRO_250K-1M,250K-1M,FR,CAND_DE_koeln,CAND_DE_koeln__METRO_FR_tours__VIA_RELAY,VIA_RELAY,True,1,1,7.206,3.0,10.206,2.0,12.206,0,1.0,166.25217261925042,166.25217261925042
