node_id,node_type,activation_year,coverage_gain_pct,drive_time_reduction_hr,best_outbound_detour_ratio
METRO_BG_plovdiv,PERI_URBAN_HUB,2030,,,1.025
RELAY_2030_18,RELAY_HUB,2030,,,
METRO_IT_florence,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_7,RELAY_HUB,2030,,,
METRO_IT_bergamo,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_nuernberg,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_SE,DEMAND_NONMETRO,2030,,,
METRO_ES_mostoles,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_eimsbuettel,PERI_URBAN_HUB,2030,,,1.002
RELAY_2030_92,RELAY_HUB,2030,,,
RELAY_2030_127,RELAY_HUB,2030,,,
METRO_DE_stuttgart,PERI_URBAN_HUB,2030,,,1.0
METRO_EE_tallinn,PERI_URBAN_HUB,2030,,,1.0
METRO_PL_katowice,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_126,RELAY_HUB,2030,,,
METRO_FR_montpellier,PERI_URBAN_HUB,2030,,,1.0
METRO_BG_varna,PERI_URBAN_HUB,2030,,,1.003
METRO_GR_athens,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_128,RELAY_HUB,2030,,,
METRO_FR_toulon,PERI_URBAN_HUB,2030,,,1.002
RELAY_2030_139,RELAY_HUB,2030,,,
RELAY_2030_90,RELAY_HUB,2030,,,
METRO_BE_liege,PERI_URBAN_HUB,2030,,,1.0
METRO_NL_groningen,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_121,RELAY_HUB,2030,,,
METRO_IT_como,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_145,RELAY_HUB,2030,,,
METRO_DE_solingen,PERI_URBAN_HUB,2030,,,1.0
METRO_FR_rennes,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_137,RELAY_HUB,2030,,,
NONMETRO_DK,DEMAND_NONMETRO,2030,,,
RELAY_2030_141,RELAY_HUB,2030,,,
METRO_DE_freiburg,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_47,RELAY_HUB,2030,,,
METRO_DE_dresden,PERI_URBAN_HUB,2030,,,1.0
METRO_PT_amadora,PERI_URBAN_HUB,2030,,,1.081
METRO_DE_muenster,PERI_URBAN_HUB,2030,,,1.0
METRO_FR_valenciennes,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_140,RELAY_HUB,2030,,,
RELAY_2030_32,RELAY_HUB,2030,,,
RELAY_2030_60,RELAY_HUB,2030,,,
RELAY_2030_118,RELAY_HUB,2030,,,
RELAY_2030_111,RELAY_HUB,2030,,,
RELAY_2030_51,RELAY_HUB,2030,,,
METRO_ES_cartagena,PERI_URBAN_HUB,2030,,,1.012
RELAY_2030_136,RELAY_HUB,2030,,,
RELAY_2030_93,RELAY_HUB,2030,,,
METRO_NL_almere_stad,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_BE,DEMAND_NONMETRO,2030,,,
RELAY_2030_157,RELAY_HUB,2030,,,
METRO_NL_rotterdam,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_96,RELAY_HUB,2030,,,
METRO_GR_thessaloniki,PERI_URBAN_HUB,2030,,,1.028
METRO_ES_fuenlabrada,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_CZ,DEMAND_NONMETRO,2030,,,
METRO_ES_elche,PERI_URBAN_HUB,2030,,,1.002
METRO_DE_wuppertal,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_124,RELAY_HUB,2030,,,
CAND_PL_lodz,DC,2030,,,1.0
METRO_FR_lyon,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_bilbao,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_nou_barris,PERI_URBAN_HUB,2030,,,1.001
METRO_NO_bergen,PERI_URBAN_HUB,2030,,,
METRO_GR_patras,PERI_URBAN_HUB,2030,,,1.03
METRO_FR_lille,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_82,RELAY_HUB,2030,,,
METRO_LT_kaunas,PERI_URBAN_HUB,2030,,,1.008
METRO_DE_aachen,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_81,RELAY_HUB,2030,,,
RELAY_2030_114,RELAY_HUB,2030,,,
RELAY_2030_34,RELAY_HUB,2030,,,
METRO_IT_padova,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_hamburg_nord,PERI_URBAN_HUB,2030,,,1.002
METRO_ES_ciudad_lineal,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_gelsenkirchen,PERI_URBAN_HUB,2030,,,1.0
METRO_BE_gent,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_NL,DEMAND_NONMETRO,2030,,,
METRO_IT_trieste,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_bochum,PERI_URBAN_HUB,2030,,,1.0
METRO_RO_arad,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_20,RELAY_HUB,2030,,,
METRO_DE_hamburg,PERI_URBAN_HUB,2030,,,1.002
RELAY_2030_76,RELAY_HUB,2030,,,
RELAY_2030_77,RELAY_HUB,2030,,,
METRO_DE_saarbruecken,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_neue_neustadt,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_braunschweig,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_119,RELAY_HUB,2030,,,
METRO_NL_amsterdam,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_chemnitz,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_3,RELAY_HUB,2030,,,
RELAY_2030_110,RELAY_HUB,2030,,,
METRO_PT_lisbon,PERI_URBAN_HUB,2030,,,1.083
METRO_FR_bordeaux,PERI_URBAN_HUB,2030,,,1.0
METRO_FR_saint_etienne,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_158,RELAY_HUB,2030,,,
METRO_CH_geneva,PERI_URBAN_HUB,2030,,,1.0
METRO_CZ_pilsen,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_a_coruna,PERI_URBAN_HUB,2030,,,1.004
METRO_IT_catania,PERI_URBAN_HUB,2030,,,1.0
NONMETRO_LT,DEMAND_NONMETRO,2030,,,
METRO_ES_vigo,PERI_URBAN_HUB,2030,,,1.022
METRO_CZ_ostrava,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_9,RELAY_HUB,2030,,,
METRO_DE_bremen,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_106,RELAY_HUB,2030,,,
RELAY_2030_132,RELAY_HUB,2030,,,
METRO_NL_breda,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_78,RELAY_HUB,2030,,,
METRO_FI_vantaa,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_21,RELAY_HUB,2030,,,
NONMETRO_CY,DEMAND_NONMETRO,2030,,,
METRO_ES_alicante,PERI_URBAN_HUB,2030,,,1.008
RELAY_2030_108,RELAY_HUB,2030,,,
RELAY_2030_55,RELAY_HUB,2030,,,
METRO_HU_szeged,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_61,RELAY_HUB,2030,,,
METRO_PL_bielsko_biala,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_147,RELAY_HUB,2030,,,
RELAY_2030_30,RELAY_HUB,2030,,,
METRO_IT_lecco,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_naples,PERI_URBAN_HUB,2030,,,1.0
