year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2029,CAND_PL_lodz__METRO_PL_krakow,DC_HUB_DIRECT,M,231.36,2.314,False,427.0,12493.44,6829.7
2029,CAND_PL_lodz__METRO_PL_wroclaw,DC_HUB_DIRECT,M,221.85,2.218,False,427.0,11979.9,6549.0
2029,CAND_PL_lodz__METRO_PL_poznan,DC_HUB_DIRECT,M,225.18,2.252,False,427.0,12159.72,6647.3
2029,CAND_PL_lodz__METRO_PL_gdansk,DC_HUB_DIRECT,M,350.79,3.508,False,427.0,18942.66,10355.3
2029,CAND_PL_lodz__METRO_PL_bydgoszcz,DC_HUB_DIRECT,M,216.34,2.163,False,427.0,11682.36,6386.4
2029,CAND_PL_lodz__METRO_PL_lublin,DC_HUB_DIRECT,M,266.05,2.66,False,427.0,14366.7,7853.8
2029,CAND_PL_lodz__METRO_PL_katowice,DC_HUB_DIRECT,M,205.23,2.052,False,427.0,11082.42,6058.4
2029,CAND_PL_lodz__METRO_PL_bialystok,DC_HUB_DIRECT,M,350.82,3.508,False,427.0,18944.28,10356.2
2029,CAND_PL_lodz__METRO_PL_gdynia,DC_HUB_DIRECT,M,374.38,3.744,False,427.0,20216.52,11051.7
2029,CAND_PL_lodz__METRO_PL_czestochowa,DC_HUB_DIRECT,M,133.22,1.332,False,427.0,7193.88,3932.7
2029,CAND_PL_lodz__METRO_PL_sosnowiec,DC_HUB_DIRECT,M,200.41,2.004,False,427.0,10822.14,5916.1
2029,CAND_PL_lodz__METRO_PL_radom,DC_HUB_DIRECT,M,147.15,1.472,False,427.0,7946.1,4343.9
2029,CAND_PL_lodz__METRO_PL_mokotow,DC_HUB_DIRECT,M,140.14,1.401,False,427.0,7567.56,4136.9
2029,CAND_PL_lodz__METRO_PL_torun,DC_HUB_DIRECT,M,180.55,1.805,False,427.0,9749.7,5329.8
2029,CAND_PL_lodz__METRO_PL_kielce,DC_HUB_DIRECT,M,153.9,1.539,False,427.0,8310.6,4543.1
2029,CAND_PL_lodz__METRO_PL_gliwice,DC_HUB_DIRECT,M,207.62,2.076,False,427.0,11211.48,6128.9
2029,CAND_PL_lodz__METRO_PL_zabrze,DC_HUB_DIRECT,M,201.35,2.014,False,427.0,10872.9,5943.9
2029,CAND_PL_lodz__METRO_PL_bytom,DC_HUB_DIRECT,M,195.17,1.952,False,427.0,10539.18,5761.4
2029,CAND_PL_lodz__METRO_PL_praga_poludnie,DC_HUB_DIRECT,M,146.67,1.467,False,427.0,7920.18,4329.7
2029,CAND_PL_lodz__METRO_PL_bielsko_biala,DC_HUB_DIRECT,M,262.44,2.624,False,427.0,14171.76,7747.2
2029,CAND_PL_lodz__METRO_PL_olsztyn,DC_HUB_DIRECT,M,280.47,2.805,False,427.0,15145.38,8279.5
2029,CAND_ES_madrid__METRO_ES_valencia,DC_HUB_DIRECT,M,362.84,3.628,False,273.0,12517.98,6843.2
2029,CAND_ES_madrid__METRO_ES_zaragoza,DC_HUB_DIRECT,M,328.94,3.289,False,273.0,11348.43,6203.8
2029,CAND_ES_madrid__METRO_ES_bilbao,DC_HUB_DIRECT,M,387.56,3.876,False,273.0,13370.82,7309.4
2029,CAND_ES_madrid__METRO_ES_cordoba,DC_HUB_DIRECT,M,354.64,3.546,False,273.0,12235.08,6688.5
2029,CAND_ES_madrid__METRO_ES_valladolid,DC_HUB_DIRECT,M,194.63,1.946,False,273.0,6714.74,3670.7
2029,CAND_ES_madrid__METRO_ES_carabanchel,DC_HUB_DIRECT,M,4.06,0.041,False,273.0,140.07,76.6
2029,CAND_ES_madrid__METRO_ES_puente_de_vallecas,DC_HUB_DIRECT,M,5.14,0.051,False,273.0,177.33,96.9
2029,CAND_ES_madrid__METRO_ES_gasteiz_/_vitoria,DC_HUB_DIRECT,M,340.56,3.406,False,273.0,11749.32,6423.0
2029,CAND_ES_madrid__METRO_ES_ciudad_lineal,DC_HUB_DIRECT,M,6.45,0.064,False,273.0,222.52,121.6
2029,CAND_ES_madrid__METRO_ES_fuencarral_el_pardo,DC_HUB_DIRECT,M,11.31,0.113,False,273.0,390.2,213.3
2029,CAND_ES_madrid__METRO_ES_mostoles,DC_HUB_DIRECT,M,20.75,0.208,False,273.0,715.88,391.3
2029,CAND_ES_madrid__METRO_ES_alcala_de_henares,DC_HUB_DIRECT,M,35.87,0.359,False,273.0,1237.51,676.5
2029,CAND_ES_madrid__METRO_ES_pamplona,DC_HUB_DIRECT,M,380.48,3.805,False,273.0,13126.56,7175.9
2029,CAND_ES_madrid__METRO_ES_fuenlabrada,DC_HUB_DIRECT,M,19.96,0.2,False,273.0,688.62,376.4
2029,CAND_ES_madrid__METRO_ES_leganes,DC_HUB_DIRECT,M,13.43,0.134,False,273.0,463.34,253.3
2029,CAND_ES_madrid__METRO_ES_castello_de_la_plana,DC_HUB_DIRECT,M,376.7,3.767,False,273.0,12996.15,7104.6
2029,CAND_ES_madrid__METRO_ES_burgos,DC_HUB_DIRECT,M,256.81,2.568,False,273.0,8859.95,4843.4
2029,CAND_ES_madrid__METRO_ES_albacete,DC_HUB_DIRECT,M,268.19,2.682,False,273.0,9252.55,5058.1
2029,CAND_ES_madrid__METRO_ES_alcorcon,DC_HUB_DIRECT,M,15.61,0.156,False,273.0,538.54,294.4
2029,CAND_ES_madrid__METRO_ES_getafe,DC_HUB_DIRECT,M,15.1,0.151,False,273.0,520.95,284.8
2029,CAND_DE_koeln__METRO_DE_berlin,DC_HUB_VIA_RELAY,L,574.35,5.743,True,724.0,79920.8,43087.7
2029,CAND_DE_koeln__METRO_DE_hamburg,DC_HUB_VIA_RELAY,L,432.31,4.323,True,724.0,60155.94,32431.9
2029,CAND_DE_koeln__METRO_DE_munich,DC_HUB_VIA_RELAY,L,547.18,5.472,True,724.0,76140.1,41049.4
2029,CAND_DE_koeln__METRO_DE_leipzig,DC_HUB_VIA_RELAY,L,457.02,4.57,True,724.0,63594.33,34285.6
2029,CAND_DE_koeln__METRO_DE_dresden,DC_HUB_VIA_RELAY,L,570.14,5.701,True,724.0,79334.98,42771.9
2029,CAND_DE_koeln__METRO_DE_nuernberg,DC_HUB_VIA_RELAY,L,403.98,4.04,True,724.0,56213.82,30306.6
2029,CAND_DE_koeln__METRO_DE_wandsbek,DC_HUB_VIA_RELAY,L,436.38,4.364,True,724.0,60722.28,32737.2
2029,CAND_DE_koeln__METRO_DE_marienthal,DC_HUB_VIA_RELAY,L,434.64,4.346,True,724.0,60480.16,32606.7
2029,CAND_DE_koeln__METRO_DE_hamburg_nord,DC_HUB_VIA_RELAY,L,432.36,4.324,True,724.0,60162.89,32435.6
2029,CAND_DE_koeln__METRO_DE_augsburg,DC_HUB_VIA_RELAY,L,482.78,4.828,True,724.0,67178.84,36218.2
2029,CAND_DE_koeln__METRO_DE_eimsbuettel,DC_HUB_VIA_RELAY,L,429.45,4.294,True,724.0,59757.97,32217.3
2029,CAND_DE_koeln__METRO_DE_altona,DC_HUB_VIA_RELAY,L,425.74,4.257,True,724.0,59241.72,31939.0
2029,CAND_DE_koeln__METRO_DE_chemnitz,DC_HUB_VIA_RELAY,L,503.37,5.034,True,724.0,70043.94,37762.8
2029,CAND_DE_koeln__METRO_DE_halle_saale,DC_HUB_VIA_RELAY,L,426.68,4.267,True,724.0,59372.52,32009.5
2029,CAND_DE_koeln__METRO_DE_hamburg_mitte,DC_HUB_VIA_RELAY,L,429.67,4.297,True,724.0,59788.58,32233.8
2029,CAND_DE_koeln__METRO_DE_kiel,DC_HUB_VIA_RELAY,L,520.37,5.204,True,724.0,72409.49,39038.2
2029,CAND_DE_koeln__METRO_DE_magdeburg,DC_HUB_VIA_RELAY,L,419.74,4.197,True,724.0,58406.82,31488.9
2029,CAND_DE_koeln__METRO_DE_neue_neustadt,DC_HUB_VIA_RELAY,L,421.11,4.211,True,724.0,58597.46,31591.7
2029,CAND_DE_koeln__METRO_DE_luebeck,DC_HUB_VIA_RELAY,L,495.85,4.958,True,724.0,68997.53,37198.7
2029,CAND_DE_koeln__METRO_DE_harburg,DC_HUB_VIA_RELAY,L,418.6,4.186,True,724.0,58248.19,31403.4
2029,CAND_DE_koeln__METRO_DE_rostock,DC_HUB_VIA_RELAY,L,595.48,5.955,True,724.0,82861.04,44672.9
2029,CAND_DE_koeln__METRO_DE_neukoelln,DC_HUB_VIA_RELAY,L,573.92,5.739,True,724.0,79860.97,43055.5
2029,CAND_DE_koeln__METRO_DK_copenhagen,DC_HUB_VIA_RELAY,L,774.67,7.747,True,724.0,107795.33,58115.7
2029,CAND_DE_koeln__METRO_DK_arhus,DC_HUB_VIA_RELAY,L,743.17,7.432,True,724.0,103412.11,55752.6
2029,CAND_DE_koeln__METRO_PL_wroclaw,DC_HUB_VIA_RELAY,L,846.05,8.46,True,724.0,117727.86,63470.7
2029,CAND_DE_koeln__METRO_PL_poznan,DC_HUB_VIA_RELAY,L,848.21,8.482,True,724.0,118028.42,63632.7
2029,CAND_DE_koeln__METRO_PL_szczecin,DC_HUB_VIA_RELAY,L,705.07,7.051,True,724.0,98110.49,52894.4
2029,CAND_DE_koeln__METRO_PL_bydgoszcz,DC_HUB_VIA_RELAY,L,952.54,9.525,True,724.0,132545.94,71459.6
2029,CAND_DE_koeln__METRO_PL_torun,DC_HUB_VIA_RELAY,L,995.61,9.956,True,724.0,138539.13,74690.7
2029,CAND_DE_koeln__METRO_PL_gliwice,DC_HUB_VIA_RELAY,L,995.41,9.954,True,724.0,138511.3,74675.7
