node_id,node_type,country,cca2,city,lat,lng
METRO_IT_verona,metro,Italy,IT,Verona,45.4299,10.9844
METRO_IT_seregno,metro,Italy,IT,Seregno,45.65,9.20548
METRO_IT_bari,metro,Italy,IT,Bari,41.1115,16.8554
METRO_IT_catania,metro,Italy,IT,Catania,37.4922,15.0704
METRO_IT_brescia,metro,Italy,IT,Brescia,45.5356,10.2147
METRO_IT_como,metro,Italy,IT,Como,45.8082,9.0832
METRO_IT_cagliari,metro,Italy,IT,Cagliari,39.2305,9.11917
METRO_IT_latina,metro,Italy,IT,Latina,41.4661,12.9043
METRO_IT_taranto,metro,Italy,IT,Taranto,40.4644,17.2471
METRO_IT_caserta,metro,Italy,IT,Caserta,41.0726,14.3323
METRO_IT_salerno,metro,Italy,IT,Salerno,40.6754,14.7933
METRO_IT_treviso,metro,Italy,IT,Treviso,45.6667,12.2416
METRO_IT_pescara,metro,Italy,IT,Pescara,42.4584,14.2028
METRO_IT_modena,metro,Italy,IT,Modena,44.6478,10.9254
METRO_IT_barletta,metro,Italy,IT,Barletta,41.3143,16.2817
METRO_IT_parma,metro,Italy,IT,Parma,44.7994,10.3262
METRO_IT_vicenza,metro,Italy,IT,Vicenza,45.5467,11.5475
METRO_IT_nola,metro,Italy,IT,Nola,40.9261,14.5282
METRO_IT_lecco,metro,Italy,IT,Lecco,45.8559,9.39704
METRO_IT_messina,metro,Italy,IT,Messina,38.1939,15.5526
METRO_IT_trieste,metro,Italy,IT,Trieste,45.6495,13.7768
METRO_IT_prato,metro,Italy,IT,Prato,43.8805,11.097
METRO_IT_reggio_calabria,metro,Italy,IT,Reggio Calabria,38.1105,15.6613
METRO_PT_lisbon,metro,Portugal,PT,Lisbon,38.7167,-9.13333
METRO_PT_porto,metro,Portugal,PT,Porto,41.1496,-8.61099
METRO_PT_amadora,metro,Portugal,PT,Amadora,38.7538,-9.23083
METRO_ES_madrid,metro,Spain,ES,Madrid,40.4165,-3.70256
METRO_ES_barcelona,metro,Spain,ES,Barcelona,41.3888,2.15899
METRO_ES_valencia,metro,Spain,ES,Valencia,39.4697,-0.37739
METRO_ES_zaragoza,metro,Spain,ES,Zaragoza,41.6561,-0.87734
METRO_ES_sevilla,metro,Spain,ES,Sevilla,37.3828,-5.97317
METRO_ES_malaga,metro,Spain,ES,Malaga,36.7202,-4.42034
METRO_ES_murcia,metro,Spain,ES,Murcia,37.987,-1.13004
METRO_ES_palma,metro,Spain,ES,Palma,39.5694,2.65024
METRO_ES_alicante,metro,Spain,ES,Alicante,38.3452,-0.48149
METRO_ES_las_palmas_de_gran_canaria,metro,Spain,ES,Las Palmas de Gran Canaria,28.0997,-15.4134
METRO_ES_bilbao,metro,Spain,ES,Bilbao,43.2627,-2.92528
