year,node_id,assigned_cand,t_base_hr,units,node_type,last_mile_hours,last_mile_hours_nonmetro,last_mile_hours_final,drive_time_hr,rest_time_hr,travel_elapsed_hr,otd_hours,otd_days_promise,otd_bucket,purchase_prob,reachable_units,revenue,reachable_revenue
2027,METRO_DE_hagen,CAND_DE_koeln,0.718382205,50,metro,24.0,,24.0,0.718382205,0.0,0.718382205,24.718382205,1,1,0.95,47.5,22680.0,21546.0
2027,METRO_DE_rostock,CAND_DE_koeln,5.954810005,50,metro,24.0,,24.0,5.954810005,0.0,5.954810005,29.954810005,1,1,0.95,47.5,22680.0,21546.0
2027,METRO_DE_kassel,CAND_DE_koeln,2.195826406,49,metro,24.0,,24.0,2.195826406,0.0,2.195826406,26.195826406000002,1,1,0.95,46.55,22226.4,21115.08
2027,METRO_DE_hamm,CAND_DE_koeln,1.233374939,47,metro,24.0,,24.0,1.233374939,0.0,1.233374939,25.233374939,1,1,0.95,44.65,21319.2,20253.239999999998
2027,METRO_DE_mainz,CAND_DE_koeln,1.696580886,47,metro,24.0,,24.0,1.696580886,0.0,1.696580886,25.696580886,1,1,0.95,44.65,21319.2,20253.239999999998
2027,METRO_DE_saarbruecken,CAND_DE_koeln,2.269888253,45,metro,24.0,,24.0,2.269888253,0.0,2.269888253,26.269888253,1,1,0.95,42.75,20412.0,19391.399999999998
2027,METRO_DE_herne,CAND_DE_koeln,0.840136239,43,metro,24.0,,24.0,0.840136239,0.0,0.840136239,24.840136239,1,1,0.95,40.85,19504.8,18529.559999999998
2027,METRO_DE_muelheim,CAND_DE_koeln,0.668295694,43,metro,24.0,,24.0,0.668295694,0.0,0.668295694,24.668295694,1,1,0.95,40.85,19504.8,18529.559999999998
2027,METRO_DE_neukoelln,CAND_DE_koeln,5.73916172,42,metro,24.0,,24.0,5.73916172,0.0,5.73916172,29.73916172,1,1,0.95,39.9,19051.2,18098.64
2027,METRO_DE_osnabrueck,CAND_DE_koeln,2.006044873,42,metro,24.0,,24.0,2.006044873,0.0,2.006044873,26.006044873,1,1,0.95,39.9,19051.2,18098.64
2027,METRO_DE_solingen,CAND_DE_koeln,0.33965684,41,metro,24.0,,24.0,0.33965684,0.0,0.33965684,24.33965684,1,1,0.95,38.949999999999996,18597.6,17667.719999999998
2027,METRO_NL_amsterdam,CAND_DE_koeln,2.569743992,301,metro,8.0,,8.0,2.569743992,0.0,2.569743992,10.569743992,0,0,1.0,301.0,136533.6,136533.6
2027,METRO_NL_rotterdam,CAND_DE_koeln,2.442708023,259,metro,8.0,,8.0,2.442708023,0.0,2.442708023,10.442708023,0,0,1.0,259.0,117482.4,117482.4
2027,METRO_NL_the_hague,CAND_DE_koeln,2.678731968,183,metro,12.0,,12.0,2.678731968,0.0,2.678731968,14.678731968000001,0,0,1.0,183.0,83008.8,83008.8
2027,METRO_NL_utrecht,CAND_DE_koeln,2.165347295,146,metro,12.0,,12.0,2.165347295,0.0,2.165347295,14.165347295,0,0,1.0,146.0,66225.6,66225.6
2027,METRO_NL_eindhoven,CAND_DE_koeln,1.405166603,94,metro,12.0,,12.0,1.405166603,0.0,1.405166603,13.405166603,0,0,1.0,94.0,42638.4,42638.4
2027,METRO_NL_tilburg,CAND_DE_koeln,1.760530811,50,metro,24.0,,24.0,1.760530811,0.0,1.760530811,25.760530811,1,1,0.95,47.5,22680.0,21546.0
2027,METRO_NL_groningen,CAND_DE_koeln,3.066310706,46,metro,24.0,,24.0,3.066310706,0.0,3.066310706,27.066310706,1,1,0.95,43.699999999999996,20865.6,19822.319999999996
2027,METRO_NL_almere_stad,CAND_DE_koeln,2.396056342,45,metro,24.0,,24.0,2.396056342,0.0,2.396056342,26.396056342,1,1,0.95,42.75,20412.0,19391.399999999998
