  ,node_id,assigned_cand,t_base_hr,units
2027,METRO_DE_braunschweig,CAND_DE_koeln,3.456275782,62
2027,METRO_DE_krefeld,CAND_DE_koeln,0.631936755,60
2027,METRO_DE_halle_saale,CAND_DE_koeln,4.266776708,59
2027,METRO_DE_hamburg_mitte,CAND_DE_koeln,4.296737237,59
2027,METRO_DE_kiel,CAND_DE_koeln,5.203684283,59
2027,METRO_DE_magdeburg,CAND_DE_koeln,4.197424254,58
2027,METRO_DE_neue_neustadt,CAND_DE_koeln,4.211057696,57
2027,METRO_DE_oberhausen,CAND_DE_koeln,0.730618916,55
2027,METRO_DE_freiburg,CAND_DE_koeln,3.996731843,55
2027,METRO_DE_luebeck,CAND_DE_koeln,4.958499364,53
2027,METRO_DE_erfurt,CAND_DE_koeln,3.431783129,51
2027,METRO_DE_harburg,CAND_DE_koeln,4.185987761,52
2027,METRO_DE_hagen,CAND_DE_koeln,0.718382205,50
2027,METRO_DE_rostock,CAND_DE_koeln,5.954810005,50
2027,METRO_DE_kassel,CAND_DE_koeln,2.195826406,49
2027,METRO_DE_hamm,CAND_DE_koeln,1.233374939,47
2027,METRO_DE_mainz,CAND_DE_koeln,1.696580886,47
2027,METRO_DE_saarbruecken,CAND_DE_koeln,2.269888253,45
2027,METRO_DE_herne,CAND_DE_koeln,0.840136239,43
2027,METRO_DE_muelheim,CAND_DE_koeln,0.668295694,43
2027,METRO_DE_neukoelln,CAND_DE_koeln,5.73916172,42
2027,METRO_DE_osnabrueck,CAND_DE_koeln,2.006044873,42
2027,METRO_DE_solingen,CAND_DE_koeln,0.33965684,41
2027,METRO_NL_amsterdam,CAND_DE_koeln,2.569743992,301
2027,METRO_NL_rotterdam,CAND_DE_koeln,2.442708023,259
2027,METRO_NL_the_hague,CAND_DE_koeln,2.678731968,183
2027,METRO_NL_utrecht,CAND_DE_koeln,2.165347295,146
2027,METRO_NL_eindhoven,CAND_DE_koeln,1.405166603,94
2027,METRO_NL_tilburg,CAND_DE_koeln,1.760530811,50
2027,METRO_NL_groningen,CAND_DE_koeln,3.066310706,46
2027,METRO_NL_almere_stad,CAND_DE_koeln,2.396056342,45
2027,METRO_NL_breda,CAND_DE_koeln,2.013694318,42
2027,METRO_LU_luxembourg,CAND_DE_koeln,1.897030217,20
